corpus_id,source_group,model_name,runner_status,tool_ok,resolution,active_cells,oracle_diagnostic_certified,oracle_diagnostic_coverage,bound_violations,outside_cell_vertices,median_normal_angle_error_degrees,p95_normal_angle_error_degrees,median_root_position_error_cell_units,p95_root_position_error_cell_units,median_bound_cell_units,p95_bound_cell_units,median_measured_displacement_cell_units,p95_measured_displacement_cell_units,baseline_vertices,baseline_triangles,baseline_boundary_edges,baseline_nonmanifold_edges,baseline_mean_surface_error_cell_units,baseline_max_surface_error_cell_units,fallback_mean_surface_error_cell_units,fallback_max_surface_error_cell_units,pipeline_elapsed_seconds,input_path
F004,Fusion360Gallery,38287_88ec74de_86,completed,True,24,1088,0,0,0,174,6.164834939241738,15.336021951959356,0.010811716589436169,0.1930969651431617,10.957239741768657,45.157302843388074,0.1934474164207008,0.7318373847266716,1088,2352,0,92,0.08949720058564448,0.5582437667817999,0.30580447716802933,0.6685760335866794,0.11357220900026732,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/38287_88ec74de_86.stp
F005,Fusion360Gallery,40524_7b7ca640_8,completed,True,24,2240,574,0.25625,0,304,0.9725442084712272,11.596034858531704,0.0002715715447493994,0.010299308641642944,1.9526960889751346,35.44243452084834,0.013301234398432234,0.17731782604755475,2240,4488,0,6,0.019248158015963357,0.2768712953473296,0.2830106272928259,0.8603584693250844,0.19552791599926422,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/40524_7b7ca640_8.stp
F006,Fusion360Gallery,23685_4e489619_4,completed,True,24,395,1,0.002531645569620253,0,132,27.198415226242464,77.20873359868851,0.048549669132106704,0.2219611402731473,69.95548702441673,179.1086072692484,0.36874606614797006,0.9847455241448801,395,792,0,20,0.1304072914099735,0.7311803781389457,0.3138453718223539,0.8429993168261816,0.1707195409999258,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23685_4e489619_4.stp
F007,Fusion360Gallery,125152_65ed33fd_17,completed,True,24,410,0,0,0,32,3.9158536505044035,30.094605067471722,0.006045771709028186,0.10203912933370043,6.499510632533825,45.523105179114594,0.07179954173215561,0.43337237356593256,410,816,0,0,0.051469367062705426,0.6705153454857636,0.31356007924757257,0.8367160066680792,0.16943820800042886,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/125152_65ed33fd_17.stp
F008,Fusion360Gallery,23035_6087bb57_5,completed,True,24,432,141,0.3263888888888889,0,68,0.7028159655646453,43.3786339491547,3.624159774613951e-15,0.02831422971550199,42.15165939726182,92.98459065442023,0.14519345475614032,0.4699822071846532,432,860,0,0,0.028923402655365898,0.4821116054004479,0.33198394021911753,0.6873772369586307,0.07418808299917146,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23035_6087bb57_5.stp
F009,Fusion360Gallery,24890_5f8a67df_14,completed,True,24,70,0,0,0,24,9.830353812101318,11.493997433141237,6.661338147750939e-17,1.067893742893049e-15,12.132490836940434,16.741484974911327,0.09931799403316993,0.2087821792152986,70,108,0,1,0.02985486159041527,0.0990383245554178,0.40743155171235695,0.600699335955737,0.08468641699982982,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/24890_5f8a67df_14.stp
F010,Fusion360Gallery,131656_7da36cb9_0,completed,True,24,3181,1739,0.5466834328827412,0,398,0.0018674779009183408,30.723405150625776,2.752921075221714e-06,0.07129680498060083,0.013020349375851243,71.1086870713106,9.536000720959876e-05,0.529985669347812,3181,6424,0,31,0.023379169367912876,0.33512232532572245,0.14063313741475506,0.825408126405479,0.11171241699958046,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/131656_7da36cb9_0.stp
F011,Fusion360Gallery,119787_9a55dfa9_11,completed,True,24,892,660,0.7399103139013453,0,68,0,33.690403589215585,2.398081733190338e-15,2.9205167505708115e-06,1.9884512677538878e-05,54.42328854853736,2.3076570284461204e-07,0.3826728783163426,892,1780,0,0,0.018285064432103974,0.06285505781200448,0.11316623898930467,0.5830951894845311,0.08523058299942932,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/119787_9a55dfa9_11.stp
F012,Fusion360Gallery,22670_9353c710_3,completed,True,24,264,2,0.007575757575757576,0,125,10.82053153966309,40.493673788522415,1.1799562773976032e-14,0.1789321367393335,14.70819685334379,88.21810647023455,0.16377991696454625,0.7741049526472317,264,516,0,4,0.11978483588650284,0.7341637178131055,0.3590581750182463,0.7835265246258585,0.09352208299969789,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/22670_9353c710_3.stp
F013,Fusion360Gallery,32960_0eaa1de8_9,completed,True,24,508,0,0,0,82,5.733867121262269,52.48240451589593,0.02065410137607028,0.21720636899572243,20.211933444409674,125.6601284344087,0.12736818983657955,0.6732875660835499,508,1136,0,69,0.08034284204824506,0.48970509584331584,0.34669723927714696,0.7813118729032851,0.08869650000087859,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/32960_0eaa1de8_9.stp
